encoding,loss_function,regularisation,architecture,Average - validation_mse,Average - corresponding_train_mse,Average - validation_mae,Average - corresponding_train_mae,Average - validation_mape,Average - corresponding_train_mape,Average - epoch,Count - epoch
,,,deep_wide,3.05165282591812E+015,3.09406294361156E+015,31235577.3333333,31729963.3333333,1405.76407877604,1373.43859863281,32.3333333333333,3
,,,shallow_wide,3.12688230985455E+015,3.30425345332565E+015,29221384.6666667,32077431.3333333,1113.14662679036,1410.20275878906,31.6666666666667,3
,,l2,core,3.32094960181794E+015,2961936685727744,30674759.3333333,31485755.3333333,1130.81978352865,1419.1122639974,9.33333333333333,3
,,,deep_narrow,3003129180192768,3665222816497664,31121152,33738594,1416.19653320313,1434.8809000651,30.6666666666667,3
,,,deep_wide,3438705436000256,2397351960379392,32487625.3333333,29798567.3333333,1404.30428059896,1316.5546468099,1.66666666666667,3
,,,shallow_wide,3.13509222931934E+015,3278838431744000,29546522.6666667,31876031.3333333,1164.23567708333,1305.19165039063,9,3
,,no,core,3.35343548174609E+015,3164255683608576,30813004,31837215.3333333,1135.62524414063,1363.64860026042,3,3
,,,deep_narrow,3.26512048515755E+015,3.27748426434697E+015,31455661.3333333,33649354,1306.35416666667,1527.10388183594,3.33333333333333,3
,,,deep_wide,2989175099883520,4124447699107840,31306428,34899752.6666667,1428.23030598958,1526.26749674479,5.33333333333333,3
,,,shallow_wide,3.09268041153468E+015,3.31045458079471E+015,29524266.6666667,32023429.3333333,1183.00510660807,1351.72302246094,10.3333333333333,3
tfidf,mae,do,core,3232224077938688,3513899039064064,24577068,25986760,325.801727294922,364.287567138672,2,1
,,,deep_narrow,3341945459965952,2790841294782464,25170834,24960200,336.717041015625,400.646911621094,1,1
,,,deep_wide,3759660020531200,2999506106843136,27549350,26257670,350.950286865234,406.589385986328,0,1
,,,shallow_wide,3354762179248128,3535784313356288,24731814,26229350,296.304443359375,393.712158203125,5,1
,,l1,core,3439915006164992,3382649133465600,26105668,27436240,340.943908691406,348.216156005859,1,1
,,,deep_narrow,3372688567435264,3058601635610624,26137458,26161108,325.603546142578,330.592376708984,1,1
,,,deep_wide,3856298932174848,2960424588804096,28538990,25306482,320.022399902344,344.335693359375,0,1
,,,shallow_wide,3648096097533952,3853287891664896,28398742,28860026,379.441467285156,358.854583740234,7,1
,,l2,core,3417237578842112,3617900329959424,26792832,28176102,345.835296630859,355.178283691406,1,1
,,,deep_narrow,3676572536012800,3589336649957376,27720684,27931604,335.845092773437,420.969909667969,0,1
,,,deep_wide,3798519542448128,2815820019269632,28017396,26721040,346.681396484375,473.848419189453,0,1
,,,shallow_wide,3647288106811392,3307272994291712,29185080,27972400,342.499237060547,320.900207519531,29,1
,mape,do,core,4274866849054720,3381341852794880,29778128,27792278,81.7450866699219,83.6269607543945,1,1
,,,deep_narrow,4031002632519680,4704319018369024,29574226,29458474,86.7754898071289,85.5135498046875,0,1
,,,deep_wide,4091658039721984,4393388887506944,29301296,31126146,86.5013198852539,84.6669387817383,0,1
,,,shallow_wide,4128528991780864,4156422120013824,29300320,30536742,80.5617599487305,82.8935089111328,1,1
,,l1,core,4169397216215040,3842653015769088,29855996,30198044,3753.013671875,2411.970703125,18,1
,,,deep_narrow,3955979754405888,5105884501901312,29538688,31862934,3737.99731445312,2086.58276367187,42,1
,,,deep_wide,4167596819611648,4148141691502592,30253196,28412670,7425.5927734375,4154.892578125,42,1
,,,shallow_wide,3930831915581440,5525724534407168,29422678,33341768,108004.8203125,86258.1015625,3,1
,,l2,core,4167153901109248,4126103409000448,29805354,30868346,99.9951171875,99.9950408935547,8,1
,,,deep_narrow,4030458513850368,4295216672538624,29831500,29992780,99.9951324462891,99.9942169189453,8,1
,,,deep_wide,4123362951430144,4453298849447936,29974710,30235562,99.9961242675781,99.9950332641602,8,1
,,,shallow_wide,4156117982642176,4219316815790080,29741484,31374970,100.00415802002,100.001930236816,1,1
